"CoreID","TreeID","plot.id","Site","tree.number","Species","Canopy.Class","Live.Dead","DBH..cm.","stems","total.cores","core.id","pith.preset","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot"
"ACB027B","ACB027","ACB","Austin Cary FL",27,"PIPA","C","LIVE",33.8,1,2,"B","N",1931,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB028A","ACB028","ACB","Austin Cary FL",28,"PIPA","C","LIVE",25.5,1,2,"A","N",1935,1938,1939,2009,"Y",NA,NA,"N",NA,NA,"B"
"ACB028B","ACB028","ACB","Austin Cary FL",28,"PIPA","C","LIVE",25.5,1,2,"B","N",1932,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB029A","ACB029","ACB","Austin Cary FL",29,"PIPA","C","LIVE",20.8,1,2,"A","N",1955,1955,1956,2014,"Y",1956,2014,"Y",NA,NA,"B"
"ACB029B","ACB029","ACB","Austin Cary FL",29,"PIPA","C","LIVE",20.8,1,2,"B",NA,NA,1973,1974,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB030A","ACB030","ACB","Austin Cary FL",30,"PIPA","C","LIVE",28.6,1,2,"A","N",1936,1945,1946,2014,"Y",1946,2014,"Y",NA,NA,"B"
"ACB030B","ACB030","ACB","Austin Cary FL",30,"PIPA","C","LIVE",28.6,1,2,"B","Y",1939,1939,1940,2014,"Y",1940,2014,"Y",NA,NA,"B"
"ACB031A","ACB031","ACB","Austin Cary FL",31,"PIPA","C","LIVE",28.5,1,2,"A","N",1945,1947,1948,2014,"Y",1948,2014,"Y",NA,NA,"B"
"ACB031B","ACB031","ACB","Austin Cary FL",31,"PIPA","C","LIVE",28.5,1,2,"B","N",1944,1948,1949,2014,"Y",1949,2014,"Y",NA,NA,"B"
"ACC002A","ACC002","ACC","Austin Cary FL",2,"PIPA","C","LIVE",37.7,1,2,"A","N",1918,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"C"
"ACC002B","ACC002","ACC","Austin Cary FL",2,"PIPA","C","LIVE",37.7,1,2,"B","N",1916,1922,1923,2014,"Y",1923,2014,"Y",NA,NA,"C"
"ACC003A","ACC003","ACC","Austin Cary FL",3,"PIPA","C","LIVE",27.6,1,2,"A","N",1947,1949,1950,2014,"Y",1950,2014,"Y",NA,NA,"C"
"ACC003B","ACC003","ACC","Austin Cary FL",3,"PIPA","C","LIVE",27.6,1,2,"B","N",1947,1949,1950,2014,"Y",1950,2014,"Y",NA,NA,"C"
"ACC004A","ACC004","ACC","Austin Cary FL",4,"PIPA","C","LIVE",35.3,1,2,"A",NA,NA,1944,1945,2014,"Y",1945,2014,"Y",NA,NA,"C"
"ACC004B","ACC004","ACC","Austin Cary FL",4,"PIPA","C","LIVE",35.3,1,2,"B",NA,NA,1944,1945,2014,"Y",1945,2014,"Y",NA,NA,"C"
"ACC005A","ACC005","ACC","Austin Cary FL",5,"PIPA","C","LIVE",29.4,1,2,"A","N",1929,1935,1936,2014,"Y",1936,2014,"Y",NA,NA,"C"
"ACC005B","ACC005","ACC","Austin Cary FL",5,"PIPA","C","LIVE",29.4,1,2,"B","Y",1934,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"C"
