"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"2474","VLF001A","VLF001","VLA","Valles Caldera Lower",1,"PIPO","C","LIVE",22.9,1,2,"A","N",1953,1958,1959,2011,"Y",1959,2011,"Y","",""
"2475","VLF001B","VLF001","VLA","Valles Caldera Lower",1,"PIPO","C","LIVE",22.9,1,2,"B","N",1953,1958,1959,2011,"Y",1959,2011,"Y","",""
"2476","VLF002A","VLF002","VLA","Valles Caldera Lower",2,"PIPO","C","LIVE",12.1,1,2,"A","Y",1956,1956,1957,2011,"Y",1957,2011,"N","UNDATED",""
"2477","VLF002B","VLF002","VLA","Valles Caldera Lower",2,"PIPO","C","LIVE",12.1,1,2,"B","Y",1956,1956,1957,2011,"Y",1957,2011,"N","UNDATED",""
"2478","VLF003A","VLF003","VLA","Valles Caldera Lower",3,"PIPO","C","LIVE",15.9,1,2,"A","Y",1958,1958,1959,2011,"Y",1959,2011,"N","UNDATED",""
"2479","VLF003B","VLF003","VLA","Valles Caldera Lower",3,"PIPO","C","LIVE",15.9,1,2,"B","Y",1958,1958,1960,2011,"Y",1960,2011,"N","UNDATED",""
"2480","VLF004A","VLF004","VLA","Valles Caldera Lower",4,"PIPO","C","LIVE",24.8,1,2,"A","Y",1934,1934,1935,2011,"Y",1935,2011,"Y","",""
"2481","VLF004B","VLF004","VLA","Valles Caldera Lower",4,"PIPO","C","LIVE",24.8,1,2,"B","Y",1934,1934,1935,2011,"Y",1935,2011,"Y","",""
"2482","VLF005A","VLF005","VLA","Valles Caldera Lower",5,"PIPO","C","LIVE",21.2,1,2,"A","N",1937,1944,1945,2011,"Y",1945,2011,"Y","",""
"2483","VLF005B","VLF005","VLA","Valles Caldera Lower",5,"PIPO","C","LIVE",21.2,1,2,"B",NA,NA,NA,NA,NA,"Y",NA,NA,NA,"WEIRD. OFF SOMEHOW BUT DATED",""
"2484","VLF006A","VLF006","VLA","Valles Caldera Lower",6,"PIPO","C","LIVE",13.2,1,2,"A","N",1953,1959,1960,2011,"Y",1960,2011,"N","UNDATED",""
"2485","VLF006B","VLF006","VLA","Valles Caldera Lower",6,"PIPO","C","LIVE",13.2,1,2,"B","N",1954,1959,1960,2011,"Y",1960,2011,"N","UNDATED",""
"2486","VLF007A","VLF007","VLA","Valles Caldera Lower",7,"PIPO","C","LIVE",26.7,1,2,"A","N",1935,1937,1939,2011,"Y",1939,2011,"Y","",""
"2487","VLF007B","VLF007","VLA","Valles Caldera Lower",7,"PIPO","C","LIVE",26.7,1,2,"B","N",1935,1937,1938,2011,"Y",1938,2011,"Y","",""
"2488","VLF008A","VLF008","VLA","Valles Caldera Lower",8,"PIPO","C","LIVE",21.1,1,2,"A","N",1939,1939,1943,2011,"Y",1943,2011,"Y","",""
"2489","VLF008B","VLF008","VLA","Valles Caldera Lower",8,"PIPO","C","LIVE",21.1,1,2,"B","N",1939,1939,1941,2011,"Y",1941,2011,"Y","",""
"2490","VLF009A","VLF009","VLA","Valles Caldera Lower",9,"PIPO","C","LIVE",28.1,1,2,"A","Y",1945,1945,1946,2011,"Y",1946,2011,"Y","",""
"2491","VLF009B","VLF009","VLA","Valles Caldera Lower",9,"PIPO","C","LIVE",28.1,1,2,"B","Y",1945,1945,1946,2011,"Y",1946,2011,"Y","",""
"2492","VLF010A","VLF010","VLA","Valles Caldera Lower",10,"PIPO","C","LIVE",21.7,1,2,"A","N",1942,1943,1944,2011,"Y",1944,2011,"Y","",""
"2493","VLF010B","VLF010","VLA","Valles Caldera Lower",10,"PIPO","C","LIVE",21.7,1,2,"B","N",1942,1943,1944,2011,"Y",1944,2011,"Y","",""
"2494","VLF011A","VLF011","VLA","Valles Caldera Lower",11,"PIPO","C","LIVE",28.9,1,2,"A","Y",1935,1935,1937,2011,"Y",1937,2011,"Y","",""
"2495","VLF011B","VLF011","VLA","Valles Caldera Lower",11,"PIPO","C","LIVE",28.9,1,2,"B","Y",1935,1935,1937,2011,"Y",1937,2011,"Y","",""
"2496","VLF012A","VLF012","VLA","Valles Caldera Lower",12,"PIPO","C","LIVE",26,1,2,"A","Y",1943,1943,1944,2011,"Y",1944,2011,"Y","",""
"2497","VLF012B","VLF012","VLA","Valles Caldera Lower",12,"PIPO","C","LIVE",26,1,2,"B","Y",1943,1943,1944,2011,"Y",1944,2011,"Y","",""
"2498","VLF013A","VLF013","VLA","Valles Caldera Lower",13,"PIPO","C","LIVE",15.5,1,2,"A","N",1950,1957,1958,2007,"Y",1958,2007,"N","UNDATED",""
"2499","VLF013B","VLF013","VLA","Valles Caldera Lower",13,"PIPO","C","LIVE",15.5,1,2,"B","N",1951,1953,NA,NA,"Y",NA,NA,"N","UNDATED",""
"2500","VLF014A","VLF014","VLA","Valles Caldera Lower",14,"PIPO","C","LIVE",204,1,2,"A","Y",1946,1943,NA,NA,"Y",NA,NA,"N","UNDATED",""
"2501","VLF014B","VLF014","VLA","Valles Caldera Lower",14,"PIPO","C","LIVE",20.4,1,2,"B","Y",1946,1943,NA,NA,"Y",NA,NA,"N","UNDATED",""
"2502","VLF015A","VLF015","VLA","Valles Caldera Lower",15,"PIPO","C","LIVE",23.6,1,2,"A","Y",1948,1948,1951,2011,"Y",1951,2011,"N","UNDATED",""
"2503","VLF015B","VLF015","VLA","Valles Caldera Lower",15,"PIPO","C","LIVE",23.6,1,2,"B","Y",1948,1948,1960,2011,"Y",1960,2011,"Y","",""
"2504","VLF016A","VLF016","VLA","Valles Caldera Lower",16,"PIPO","C","LIVE",27.4,1,2,"A","Y",1946,1946,1948,2011,"Y",1948,2011,"Y","",""
"2505","VLF016B","VLF016","VLA","Valles Caldera Lower",16,"PIPO","C","LIVE",27.4,1,2,"B","N",1950,1952,1953,2011,"Y",1953,2011,"Y","",""
"2506","VLF017A","VLF017","VLA","Valles Caldera Lower",17,"PIPO","C","LIVE",19,1,2,"A","N",1951,1955,1956,2011,"Y",1956,2011,"Y","",""
"2507","VLF017B","VLF017","VLA","Valles Caldera Lower",17,"PIPO","C","LIVE",19,1,2,"B","N",1951,1955,1956,2011,"Y",1956,2011,"Y","",""
"2508","VLF018A","VLF018","VLA","Valles Caldera Lower",18,"PIPO","C","LIVE",31.9,1,2,"A","N",1942,1946,1947,2011,"Y",1947,2011,"Y","",""
"2509","VLF018B","VLF018","VLA","Valles Caldera Lower",18,"PIPO","C","LIVE",31.9,1,2,"B","N",1942,1946,1946,2011,"Y",1946,2011,"Y","WEIRD. OFF SOMEHOW BUT DATED",""
